"Step","env_id: ContextualBandit-v2 - exploration_rate","env_id: ContextualBandit-v2 - exploration_rate__MIN","env_id: ContextualBandit-v2 - exploration_rate__MAX"
"1","0.38000000000000017","0.38","0.38"
"2","0.38000000000000017","0.38","0.38"
"3","0.38000000000000017","0.38","0.38"
"4","0.38000000000000017","0.38","0.38"
"5","0.38000000000000017","0.38","0.38"
"6","0.38000000000000017","0.38","0.38"
"7","0.38000000000000017","0.38","0.38"
"8","0.38000000000000017","0.38","0.38"
"9","0.38000000000000017","0.38","0.38"
"10","0.38000000000000017","0.38","0.38"
"11","0.38000000000000017","0.38","0.38"
"12","0.38000000000000017","0.38","0.38"
"13","0.38000000000000017","0.38","0.38"
"14","0.38000000000000017","0.38","0.38"
"15","0.38000000000000017","0.38","0.38"
"16","0.38000000000000017","0.38","0.38"
"17","0.38000000000000017","0.38","0.38"
"18","0.38000000000000017","0.38","0.38"
"19","0.38000000000000017","0.38","0.38"
"20","0.38000000000000017","0.38","0.38"
"21","0.38000000000000017","0.38","0.38"
"22","0.38000000000000017","0.38","0.38"
"23","0.38000000000000017","0.38","0.38"
"24","0.38000000000000017","0.38","0.38"
"25","0.38000000000000017","0.38","0.38"
"26","0.38000000000000017","0.38","0.38"
"27","0.38000000000000017","0.38","0.38"
"28","0.38000000000000017","0.38","0.38"
"29","0.38000000000000017","0.38","0.38"
"30","0.38000000000000017","0.38","0.38"
"31","0.38000000000000017","0.38","0.38"
"32","0.38000000000000017","0.38","0.38"
"33","0.38000000000000017","0.38","0.38"
"34","0.38000000000000017","0.38","0.38"
"35","0.38000000000000017","0.38","0.38"
"36","0.38000000000000017","0.38","0.38"
"37","0.38000000000000017","0.38","0.38"
"38","0.38000000000000017","0.38","0.38"
"39","0.38000000000000017","0.38","0.38"
"40","0.38000000000000017","0.38","0.38"
"41","0.38000000000000017","0.38","0.38"
"42","0.38000000000000017","0.38","0.38"
"43","0.38000000000000017","0.38","0.38"
"44","0.38000000000000017","0.38","0.38"
"45","0.38000000000000017","0.38","0.38"
"46","0.38000000000000017","0.38","0.38"
"47","0.38000000000000017","0.38","0.38"
"48","0.38000000000000017","0.38","0.38"
"49","0.38000000000000017","0.38","0.38"
"50","0.38000000000000017","0.38","0.38"
"51","0.38000000000000017","0.38","0.38"
"52","0.38000000000000017","0.38","0.38"
"53","0.38000000000000017","0.38","0.38"
"54","0.38000000000000017","0.38","0.38"
"55","0.38000000000000017","0.38","0.38"
"56","0.38000000000000017","0.38","0.38"
"57","0.38000000000000017","0.38","0.38"
"58","0.38000000000000017","0.38","0.38"
"59","0.38000000000000017","0.38","0.38"
"60","0.38000000000000017","0.38","0.38"
"61","0.38000000000000017","0.38","0.38"
"62","0.38000000000000017","0.38","0.38"
"63","0.38000000000000017","0.38","0.38"
"64","0.38000000000000017","0.38","0.38"
"65","0.38000000000000017","0.38","0.38"
"66","0.38000000000000017","0.38","0.38"
"67","0.38000000000000017","0.38","0.38"
"68","0.38000000000000017","0.38","0.38"
"69","0.38000000000000017","0.38","0.38"
"70","0.38000000000000017","0.38","0.38"
"71","0.38000000000000017","0.38","0.38"
"72","0.38000000000000017","0.38","0.38"
"73","0.38000000000000017","0.38","0.38"
"74","0.38000000000000017","0.38","0.38"
"75","0.38000000000000017","0.38","0.38"
"76","0.38000000000000017","0.38","0.38"
"77","0.38000000000000017","0.38","0.38"
"78","0.38000000000000017","0.38","0.38"
"79","0.38000000000000017","0.38","0.38"
"80","0.38000000000000017","0.38","0.38"
"81","0.38000000000000017","0.38","0.38"
"82","0.38000000000000017","0.38","0.38"
"83","0.38000000000000017","0.38","0.38"
"84","0.38000000000000017","0.38","0.38"
"85","0.38000000000000017","0.38","0.38"
"86","0.38000000000000017","0.38","0.38"
"87","0.38000000000000017","0.38","0.38"
"88","0.38000000000000017","0.38","0.38"
"89","0.38000000000000017","0.38","0.38"
"90","0.38000000000000017","0.38","0.38"
"91","0.38000000000000017","0.38","0.38"
"92","0.38000000000000017","0.38","0.38"
"93","0.38000000000000017","0.38","0.38"
"94","0.38000000000000017","0.38","0.38"
"95","0.38000000000000017","0.38","0.38"
"96","0.38000000000000017","0.38","0.38"
"97","0.38000000000000017","0.38","0.38"
"98","0.38000000000000017","0.38","0.38"
"99","0.38000000000000017","0.38","0.38"
"100","0.38000000000000017","0.38","0.38"
"101","0.37886000000000003","0.37886000000000003","0.37886000000000003"
"102","0.3777234200000001","0.37772342000000003","0.37772342000000003"
"103","0.37659024974000005","0.37659024974000005","0.37659024974000005"
"104","0.3754604789907799","0.37546047899078006","0.37546047899078006"
"105","0.3743340975538078","0.3743340975538077","0.3743340975538077"
"106","0.3732110952611461","0.37321109526114626","0.37321109526114626"
"107","0.37209146197536275","0.3720914619753628","0.3720914619753628"
"108","0.37097518758943687","0.3709751875894367","0.3709751875894367"
"109","0.36986226202666833","0.3698622620266684","0.3698622620266684"
"110","0.36875267524058825","0.36875267524058836","0.36875267524058836"
"111","0.3676464172148665","0.36764641721486657","0.36764641721486657"
"112","0.3665434779632221","0.36654347796322195","0.36654347796322195"
"113","0.36544384752933234","0.3654438475293323","0.3654438475293323"
"114","0.36434751598674414","0.3643475159867443","0.3643475159867443"
"115","0.36325447343878403","0.3632544734387841","0.3632544734387841"
"116","0.3621647100184677","0.36216471001846773","0.36216471001846773"
"117","0.3610782158884122","0.3610782158884123","0.3610782158884123"
"118","0.35999498124074714","0.3599949812407471","0.3599949812407471"
"119","0.35891499629702467","0.35891499629702484","0.35891499629702484"
"120","0.3578382513081338","0.35783825130813374","0.35783825130813374"
"121","0.35676473655420954","0.3567647365542093","0.3567647365542093"
"122","0.35569444234454656","0.35569444234454667","0.35569444234454667"
"123","0.35462735901751313","0.354627359017513","0.354627359017513"
"124","0.3535634769404604","0.3535634769404605","0.3535634769404605"
"125","0.35250278650963907","0.35250278650963907","0.35250278650963907"
"126","0.3514452781501103","0.3514452781501102","0.3514452781501102"
"127","0.3503909423156598","0.35039094231565987","0.35039094231565987"
"128","0.3493397694887131","0.34933976948871287","0.34933976948871287"
"129","0.34829175018024655","0.3482917501802467","0.3482917501802467"
"130","0.3472468749297058","0.34724687492970596","0.34724687492970596"
"131","0.34620513430491684","0.34620513430491684","0.34620513430491684"
"132","0.3451665189020019","0.34516651890200206","0.34516651890200206"
"133","0.34413101934529605","0.34413101934529605","0.34413101934529605"
"134","0.3430986262872599","0.3430986262872602","0.3430986262872602"
"135","0.3420693304083981","0.3420693304083984","0.3420693304083984"
"136","0.34104312241717305","0.34104312241717316","0.34104312241717316"
"137","0.3400199930499214","0.34001999304992164","0.34001999304992164"
"138","0.338999933070772","0.33899993307077186","0.33899993307077186"
"139","0.33798293327155965","0.33798293327155954","0.33798293327155954"
"140","0.33696898447174495","0.33696898447174484","0.33696898447174484"
"141","0.33595807751832946","0.3359580775183296","0.3359580775183296"
"142","0.3349502032857748","0.33495020328577463","0.33495020328577463"
"143","0.333945352675917","0.3339453526759173","0.3339453526759173"
"144","0.33294351661788985","0.33294351661788957","0.33294351661788957"
"145","0.331944686068036","0.3319446860680359","0.3319446860680359"
"146","0.330948852009832","0.3309488520098318","0.3309488520098318"
"147","0.32995600545380216","0.3299560054538023","0.3299560054538023"
"148","0.32896613743744096","0.3289661374374409","0.3289661374374409"
